Education,Marital_Status,Income,Kidhome,Teenhome,Dt_Customer,Recency,MntWines,MntFruits,MntMeatProducts,MntFishProducts,MntSweetProducts,MntGoldProds,NumDealsPurchases,NumWebPurchases,NumCatalogPurchases,NumStorePurchases,NumWebVisitsMonth,AcceptedCmp3,AcceptedCmp4,AcceptedCmp5,AcceptedCmp1,AcceptedCmp2,Complain,Z_CostContact,Z_Revenue,Response,Age,TotalSpend,Family_Size,Customer_Tenure_Days,Log_TotalSpend,Accepted_Total,Cluster_KMeans,Cluster_Hier,Cluster_DBSCAN,Cluster_GMM,Cluster_KMeans_Label
Graduation,Married,50737.0,1.0,0.0,2013-11-15,11.0,5.0,5.0,6.0,0.0,2.0,1.0,1.0,1.0,0.0,2.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,11.0,0,42.0,19.0,2.0,4429.0,2.995732273553991,0.0,1,0,0,0,Low Value
Basic,Married,7500.0,0.0,0.0,2012-11-13,59.0,6.0,16.0,11.0,11.0,1.0,16.0,1.0,2.0,0.0,3.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,11.0,0,49.0,61.0,1.0,4796.0,4.127134385045092,0.0,1,0,-1,0,Low Value
Graduation,Divorced,63033.0,0.0,0.0,2013-11-15,82.0,194.0,61.0,480.0,225.0,112.0,30.0,1.0,3.0,4.0,8.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,11.0,0,66.0,1102.0,1.0,4429.0,7.005789019253503,0.0,0,1,-1,1,High Value
Master,Divorced,59354.0,1.0,1.0,2013-11-15,53.0,233.0,2.0,53.0,3.0,5.0,14.0,3.0,6.0,1.0,5.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,11.0,0,73.0,310.0,3.0,4429.0,5.739792912179234,0.0,1,1,-1,0,Low Value
Graduation,Married,17323.0,0.0,0.0,2012-10-10,38.0,3.0,14.0,17.0,6.0,1.0,5.0,1.0,1.0,0.0,3.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,11.0,0,38.0,46.0,1.0,4830.0,3.8501476017100584,0.0,1,0,-1,0,Low Value
PhD,Single,82800.0,0.0,0.0,2012-11-24,23.0,1006.0,22.0,115.0,59.0,68.0,45.0,1.0,7.0,6.0,12.0,3.0,0.0,0.0,1.0,1.0,0.0,0.0,3.0,11.0,1,79.0,1315.0,1.0,4785.0,7.182352111885263,2.0,0,1,-1,1,High Value
Graduation,Married,41850.0,1.0,1.0,2012-12-24,51.0,53.0,5.0,19.0,2.0,13.0,4.0,3.0,3.0,0.0,3.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,11.0,0,45.0,96.0,3.0,4755.0,4.574710978503383,0.0,1,0,-1,0,Low Value
Graduation,Together,37760.0,0.0,0.0,2012-08-31,20.0,84.0,5.0,38.0,150.0,12.0,28.0,2.0,4.0,1.0,6.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,11.0,0,79.0,317.0,1.0,4870.0,5.762051382780177,0.0,1,1,-1,0,Low Value
Master,Married,76995.0,0.0,1.0,2013-03-28,91.0,1012.0,80.0,498.0,0.0,16.0,176.0,2.0,11.0,4.0,9.0,5.0,0.0,0.0,0.0,1.0,0.0,0.0,3.0,11.0,0,76.0,1782.0,2.0,4661.0,7.48605261786314,1.0,0,1,-1,1,High Value
2n Cycle,Single,33812.0,1.0,0.0,2012-11-03,86.0,4.0,17.0,19.0,30.0,24.0,39.0,2.0,2.0,1.0,3.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,11.0,0,40.0,133.0,2.0,4806.0,4.897839799950911,0.0,1,0,-1,0,Low Value
Graduation,Married,37040.0,0.0,0.0,2012-08-08,41.0,86.0,2.0,73.0,69.0,38.0,48.0,1.0,4.0,2.0,5.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,11.0,0,43.0,316.0,1.0,4893.0,5.75890177387728,0.0,1,0,-1,0,Low Value
Graduation,Married,2447.0,1.0,0.0,2013-01-06,42.0,1.0,1.0,1725.0,1.0,1.0,1.0,15.0,0.0,28.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,11.0,0,46.0,1730.0,2.0,4742.0,7.456454555176209,0.0,0,1,-1,1,High Value
PhD,Married,58607.0,0.0,1.0,2012-12-23,63.0,867.0,0.0,86.0,0.0,0.0,19.0,3.0,2.0,3.0,9.0,8.0,0.0,1.0,0.0,0.0,0.0,0.0,3.0,11.0,0,76.0,972.0,2.0,4756.0,6.880384082186005,1.0,0,1,-1,1,High Value
PhD,Married,65324.0,0.0,1.0,2014-01-11,0.0,384.0,0.0,102.0,21.0,32.0,5.0,3.0,6.0,2.0,9.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,11.0,0,71.0,544.0,2.0,4372.0,6.300785794663244,0.0,0,1,-1,1,High Value
Graduation,Together,40689.0,0.0,1.0,2013-03-18,69.0,270.0,3.0,27.0,39.0,6.0,99.0,7.0,7.0,1.0,5.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,11.0,0,74.0,444.0,2.0,4671.0,6.09807428216624,0.0,1,1,-1,1,Low Value
Graduation,Single,18589.0,0.0,0.0,2013-01-02,89.0,6.0,4.0,25.0,15.0,12.0,13.0,2.0,2.0,1.0,3.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,11.0,0,56.0,75.0,1.0,4746.0,4.330733340286331,0.0,1,0,-1,0,Low Value
Graduation,Married,53359.0,1.0,1.0,2013-05-27,4.0,173.0,4.0,30.0,3.0,6.0,41.0,4.0,5.0,1.0,4.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,11.0,0,49.0,257.0,3.0,4601.0,5.552959584921617,0.0,1,0,-1,0,Low Value
Graduation,Single,49973.5,1.0,0.0,2013-02-20,19.0,5.0,1.0,3.0,3.0,263.0,362.0,0.0,27.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,11.0,0,39.0,637.0,2.0,4697.0,6.45833828334479,0.0,0,1,-1,1,High Value
Graduation,Married,38360.0,1.0,0.0,2013-05-31,26.0,36.0,2.0,42.0,20.0,21.0,10.0,2.0,2.0,1.0,4.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,11.0,0,36.0,131.0,2.0,4597.0,4.882801922586371,0.0,1,0,-1,0,Low Value
PhD,Married,84618.0,0.0,0.0,2013-11-22,96.0,684.0,100.0,801.0,21.0,66.0,0.0,1.0,6.0,9.0,10.0,2.0,0.0,0.0,1.0,0.0,0.0,0.0,3.0,11.0,0,60.0,1672.0,1.0,4422.0,7.422373700986824,1.0,0,1,-1,1,High Value
Master,Divorced,10979.0,0.0,0.0,2014-05-22,34.0,8.0,4.0,10.0,2.0,2.0,4.0,2.0,3.0,0.0,3.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,11.0,0,36.0,30.0,1.0,4241.0,3.4339872044851463,0.0,1,0,-1,0,Low Value
Master,Together,38620.0,0.0,0.0,2013-05-11,56.0,112.0,17.0,44.0,34.0,22.0,89.0,1.0,2.0,5.0,3.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,11.0,0,62.0,318.0,1.0,4617.0,5.765191102784844,0.0,1,1,-1,1,Low Value
Graduation,Together,40548.0,0.0,1.0,2012-10-10,31.0,110.0,0.0,5.0,2.0,0.0,3.0,2.0,2.0,1.0,4.0,5.0,0.0,1.0,0.0,0.0,0.0,0.0,3.0,11.0,0,55.0,120.0,2.0,4830.0,4.795790545596741,1.0,1,0,-1,0,Low Value
PhD,Divorced,46610.0,0.0,2.0,2012-10-29,8.0,96.0,12.0,96.0,33.0,22.0,43.0,6.0,4.0,1.0,6.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,11.0,1,73.0,302.0,3.0,4811.0,5.713732805509369,0.0,1,0,-1,0,Low Value
Master,Married,68657.0,0.0,0.0,2013-02-20,4.0,482.0,34.0,471.0,119.0,68.0,22.0,1.0,3.0,5.0,9.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,11.0,0,79.0,1196.0,1.0,4697.0,7.087573705557973,0.0,0,1,-1,1,High Value
Master,Single,49389.0,1.0,1.0,2013-08-29,55.0,40.0,0.0,19.0,2.0,1.0,3.0,1.0,2.0,0.0,3.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,11.0,0,74.0,65.0,3.0,4507.0,4.189654742026425,0.0,1,0,-1,0,Low Value
PhD,Married,67353.0,0.0,1.0,2013-12-31,37.0,702.0,17.0,151.0,0.0,8.0,35.0,5.0,5.0,6.0,12.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,11.0,0,55.0,913.0,2.0,4383.0,6.81783057145415,0.0,0,1,-1,1,High Value
2n Cycle,Married,23718.0,1.0,0.0,2013-09-02,76.0,6.0,3.0,14.0,15.0,7.0,36.0,3.0,3.0,1.0,2.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,11.0,0,49.0,81.0,2.0,4503.0,4.406719247264253,0.0,1,0,-1,0,Low Value
Graduation,Widow,42429.0,0.0,1.0,2014-02-11,99.0,55.0,0.0,6.0,2.0,0.0,4.0,2.0,1.0,1.0,3.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,11.0,0,52.0,67.0,2.0,4341.0,4.219507705176107,0.0,1,0,-1,0,Low Value
PhD,Divorced,48948.0,0.0,0.0,2013-02-01,53.0,437.0,8.0,206.0,160.0,49.0,42.0,2.0,7.0,10.0,5.0,6.0,1.0,0.0,0.0,0.0,0.0,0.0,3.0,11.0,1,82.0,902.0,1.0,4716.0,6.805722553416985,1.0,0,1,-1,1,High Value
Graduation,Married,80011.0,0.0,1.0,2013-04-29,3.0,421.0,76.0,536.0,82.0,178.0,102.0,2.0,8.0,6.0,5.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,11.0,0,45.0,1395.0,2.0,4629.0,7.241366283322318,0.0,0,1,-1,1,High Value
Master,Married,20559.0,1.0,0.0,2013-03-12,88.0,13.0,1.0,29.0,3.0,0.0,7.0,2.0,2.0,0.0,3.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,11.0,0,40.0,53.0,2.0,4677.0,3.9889840465642745,0.0,1,0,-1,0,Low Value
Graduation,Together,21994.0,0.0,1.0,2012-12-24,4.0,9.0,0.0,6.0,3.0,1.0,3.0,1.0,0.0,0.0,3.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,11.0,0,68.0,22.0,2.0,4755.0,3.1354942159291497,0.0,1,0,-1,0,Low Value
PhD,Single,50198.0,0.0,0.0,2013-11-05,80.0,81.0,11.0,50.0,3.0,2.0,39.0,1.0,1.0,3.0,4.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,11.0,0,66.0,186.0,1.0,4439.0,5.231108616854587,0.0,1,1,-1,1,Low Value
Master,Married,7500.0,1.0,0.0,2013-10-02,19.0,3.0,1.0,10.0,3.0,2.0,12.0,3.0,2.0,0.0,3.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,11.0,0,50.0,31.0,2.0,4473.0,3.4657359027997265,0.0,1,0,-1,0,Low Value
Graduation,Single,79941.0,0.0,0.0,2014-06-28,72.0,123.0,164.0,266.0,227.0,30.0,174.0,1.0,2.0,4.0,9.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,11.0,0,49.0,984.0,1.0,4204.0,6.892641641172089,0.0,0,1,-1,1,High Value
2n Cycle,Married,7500.0,0.0,0.0,2012-11-09,24.0,3.0,18.0,14.0,15.0,22.0,50.0,3.0,3.0,1.0,3.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,11.0,1,29.0,122.0,1.0,4800.0,4.812184355372417,0.0,1,0,-1,0,Low Value
Graduation,Together,41728.0,1.0,0.0,2013-05-24,92.0,13.0,6.0,15.0,3.0,5.0,13.0,1.0,2.0,0.0,2.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,11.0,0,57.0,55.0,2.0,4604.0,4.02535169073515,0.0,1,0,-1,0,Low Value
Graduation,Single,49973.5,2.0,1.0,2014-01-01,96.0,48.0,5.0,48.0,6.0,10.0,7.0,3.0,2.0,1.0,4.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,11.0,0,74.0,124.0,4.0,4382.0,4.8283137373023015,0.0,1,0,-1,0,Low Value
PhD,Married,72550.0,1.0,1.0,2012-11-08,39.0,826.0,50.0,317.0,50.0,38.0,38.0,9.0,5.0,2.0,12.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,11.0,0,71.0,1319.0,3.0,4801.0,7.1853870155804165,0.0,0,1,-1,1,High Value
Graduation,Widow,65486.0,0.0,1.0,2014-05-12,29.0,245.0,19.0,125.0,37.0,67.0,14.0,1.0,4.0,2.0,10.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,11.0,0,68.0,507.0,2.0,4251.0,6.230481447578482,0.0,0,1,-1,1,High Value
Master,Married,79143.0,0.0,0.0,2012-08-11,2.0,650.0,37.0,780.0,27.0,167.0,32.0,1.0,6.0,9.0,13.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,11.0,0,61.0,1693.0,1.0,4890.0,7.434847875211999,0.0,0,1,-1,1,High Value
Graduation,Single,35790.0,1.0,0.0,2013-01-02,54.0,12.0,6.0,20.0,30.0,1.0,3.0,2.0,2.0,0.0,3.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,11.0,0,48.0,72.0,2.0,4746.0,4.290459441148391,0.0,1,0,2,0,Low Value
Graduation,Divorced,82582.0,0.0,0.0,2014-06-07,54.0,510.0,120.0,550.0,156.0,40.0,241.0,1.0,4.0,9.0,7.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,3.0,11.0,1,48.0,1617.0,1.0,4225.0,7.388946097618437,2.0,0,1,-1,1,High Value
Graduation,Married,66373.0,1.0,1.0,2013-06-12,57.0,328.0,9.0,124.0,12.0,24.0,109.0,7.0,4.0,2.0,10.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,11.0,0,47.0,606.0,3.0,4585.0,6.408528791059498,0.0,0,1,-1,1,High Value
Master,Together,82384.0,0.0,0.0,2012-11-19,55.0,984.0,51.0,432.0,180.0,120.0,190.0,1.0,3.0,10.0,13.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,3.0,11.0,1,70.0,1957.0,1.0,4790.0,7.579678823090456,1.0,0,1,-1,1,High Value
Graduation,Divorced,70287.0,0.0,0.0,2013-04-02,30.0,295.0,35.0,482.0,121.0,120.0,40.0,1.0,5.0,5.0,10.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,11.0,1,59.0,1093.0,1.0,4656.0,6.9975959829819265,0.0,0,1,-1,1,High Value
Graduation,Single,27938.0,1.0,0.0,2014-04-28,31.0,13.0,0.0,8.0,2.0,1.0,5.0,1.0,1.0,0.0,4.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,11.0,0,37.0,29.0,2.0,4265.0,3.4011973816621555,0.0,1,0,-1,0,Low Value
Graduation,Single,49973.5,1.0,0.0,2013-06-17,57.0,11.0,3.0,22.0,2.0,2.0,6.0,2.0,2.0,0.0,3.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,11.0,0,43.0,46.0,2.0,4580.0,3.8501476017100584,0.0,1,0,2,0,Low Value
PhD,Married,55954.0,0.0,1.0,2014-03-03,63.0,447.0,0.0,28.0,0.0,0.0,43.0,3.0,8.0,2.0,6.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,11.0,0,57.0,518.0,2.0,4321.0,6.251903883165888,0.0,1,1,-1,0,Low Value
Master,Single,75777.0,0.0,0.0,2013-07-04,12.0,712.0,26.0,538.0,69.0,13.0,80.0,1.0,3.0,6.0,11.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,3.0,11.0,1,43.0,1438.0,1.0,4563.0,7.271703706887368,2.0,0,1,-1,1,High Value
Graduation,Together,66653.0,1.0,1.0,2012-09-07,18.0,452.0,18.0,102.0,16.0,18.0,6.0,4.0,4.0,2.0,12.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,11.0,0,50.0,612.0,3.0,4863.0,6.418364935936212,0.0,0,1,-1,1,High Value
Graduation,Single,61823.0,0.0,1.0,2013-02-18,26.0,523.0,7.0,134.0,37.0,14.0,169.0,4.0,8.0,2.0,10.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,11.0,0,73.0,884.0,2.0,4699.0,6.785587645007929,0.0,0,1,-1,1,High Value
PhD,Widow,67680.0,0.0,1.0,2013-06-11,8.0,546.0,0.0,48.0,0.0,6.0,6.0,1.0,7.0,3.0,8.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,11.0,0,74.0,606.0,2.0,4586.0,6.408528791059498,0.0,0,1,-1,1,High Value
Graduation,Together,70666.0,0.0,0.0,2013-12-06,29.0,398.0,40.0,367.0,119.0,122.0,30.0,1.0,7.0,4.0,4.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,11.0,0,77.0,1076.0,1.0,4408.0,6.981934677156389,0.0,0,1,-1,1,High Value
Graduation,Married,25721.0,1.0,0.0,2013-05-21,75.0,1.0,3.0,6.0,3.0,6.0,15.0,1.0,1.0,1.0,2.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,11.0,1,54.0,34.0,2.0,4607.0,3.5553480614894135,0.0,1,0,0,0,Low Value
Graduation,Together,32474.0,1.0,1.0,2014-05-11,0.0,10.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,2.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,11.0,0,58.0,11.0,3.0,4252.0,2.4849066497880004,0.0,1,0,-1,0,Low Value
2n Cycle,Single,88194.0,0.0,1.0,2014-03-19,19.0,688.0,14.0,309.0,201.0,24.0,38.0,1.0,11.0,10.0,10.0,5.0,1.0,0.0,0.0,1.0,0.0,0.0,3.0,11.0,1,46.0,1274.0,2.0,4305.0,7.150701457592526,2.0,0,1,-1,1,High Value
Graduation,Together,69096.0,0.0,1.0,2013-09-27,4.0,247.0,49.0,159.0,7.0,82.0,109.0,1.0,5.0,2.0,10.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,11.0,0,67.0,653.0,2.0,4478.0,6.483107351457199,0.0,0,1,-1,1,High Value
Graduation,Together,74854.0,1.0,2.0,2013-04-08,90.0,856.0,59.0,487.0,58.0,29.0,73.0,7.0,2.0,5.0,5.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,11.0,0,55.0,1562.0,4.0,4650.0,7.354362330421477,0.0,0,1,-1,1,High Value
Master,Married,66991.0,0.0,0.0,2012-09-11,1.0,496.0,36.0,460.0,189.0,60.0,12.0,3.0,4.0,8.0,6.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,11.0,0,71.0,1253.0,1.0,4859.0,7.134093721192866,0.0,0,1,-1,1,High Value
2n Cycle,Married,46462.5,1.0,0.0,2012-09-14,25.0,25.0,3.0,43.0,17.0,4.0,17.0,3.0,3.0,0.0,3.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,11.0,0,52.0,109.0,2.0,4856.0,4.700480365792417,0.0,1,0,-1,0,Low Value
Graduation,Married,65031.0,0.0,1.0,2013-03-17,29.0,258.0,107.0,291.0,84.0,37.0,86.0,4.0,10.0,3.0,13.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,11.0,0,66.0,863.0,2.0,4672.0,6.761572768804055,0.0,0,1,-1,1,High Value
PhD,Married,60631.0,1.0,1.0,2013-04-05,88.0,565.0,6.0,65.0,0.0,6.0,19.0,5.0,9.0,2.0,8.0,7.0,0.0,1.0,0.0,0.0,0.0,0.0,3.0,11.0,0,50.0,661.0,3.0,4653.0,6.495265555937008,1.0,0,1,-1,1,High Value
Graduation,Married,28332.0,0.0,0.0,2014-04-30,58.0,14.0,10.0,13.0,4.0,15.0,9.0,1.0,2.0,1.0,4.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,11.0,0,73.0,65.0,1.0,4263.0,4.189654742026425,0.0,1,1,-1,0,Low Value
Graduation,Divorced,40246.0,1.0,0.0,2012-12-19,68.0,2.0,1.0,6.0,2.0,1.0,1.0,1.0,1.0,0.0,2.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,11.0,0,48.0,13.0,2.0,4760.0,2.6390573296152584,0.0,1,0,0,0,Low Value
Master,Married,75251.0,0.0,0.0,2012-08-27,34.0,721.0,111.0,925.0,97.0,18.0,18.0,1.0,7.0,6.0,5.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,11.0,1,53.0,1890.0,1.0,4874.0,7.544861068658458,0.0,0,1,-1,1,High Value
Graduation,Single,75825.0,0.0,0.0,2012-10-12,40.0,1032.0,105.0,779.0,137.0,105.0,51.0,0.0,5.0,8.0,9.0,4.0,1.0,0.0,0.0,0.0,0.0,0.0,3.0,11.0,1,49.0,2209.0,1.0,4828.0,7.700747794511798,1.0,0,1,-1,1,High Value
2n Cycle,Together,26326.0,0.0,0.0,2013-09-04,12.0,1.0,0.0,5.0,0.0,3.0,9.0,1.0,0.0,0.0,3.0,3.0,0.0,0.0,0.0,0.0,0.0,1.0,3.0,11.0,0,49.0,18.0,1.0,4501.0,2.9444389791664403,0.0,1,0,-1,0,Low Value
Graduation,Together,56046.0,0.0,0.0,2013-01-02,9.0,577.0,0.0,64.0,0.0,0.0,51.0,2.0,10.0,1.0,8.0,8.0,1.0,0.0,0.0,0.0,0.0,0.0,3.0,11.0,1,60.0,692.0,1.0,4746.0,6.541029999189903,1.0,0,1,-1,1,High Value
Graduation,Single,29760.0,1.0,0.0,2012-08-29,87.0,64.0,4.0,68.0,7.0,5.0,17.0,4.0,3.0,1.0,4.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,11.0,0,40.0,165.0,2.0,4872.0,5.111987788356544,0.0,1,0,-1,0,Low Value
Graduation,Married,26304.0,1.0,0.0,2013-06-23,5.0,4.0,1.0,5.0,2.0,0.0,4.0,1.0,1.0,0.0,2.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,11.0,0,56.0,16.0,2.0,4574.0,2.833213344056216,0.0,1,0,0,0,Low Value
2n Cycle,Married,23559.0,1.0,0.0,2013-07-03,87.0,25.0,5.0,19.0,7.0,0.0,23.0,3.0,3.0,0.0,3.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,11.0,0,52.0,79.0,2.0,4564.0,4.382026634673881,0.0,1,0,-1,0,Low Value
Master,Together,38620.0,0.0,0.0,2013-05-11,56.0,112.0,17.0,44.0,34.0,22.0,89.0,1.0,2.0,5.0,3.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,11.0,0,62.0,318.0,1.0,4617.0,5.765191102784844,0.0,1,1,-1,1,Low Value
Graduation,Divorced,81361.0,0.0,0.0,2014-02-25,18.0,163.0,23.0,424.0,27.0,65.0,76.0,1.0,3.0,10.0,13.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,11.0,0,38.0,778.0,1.0,4327.0,6.658011045870748,0.0,0,1,-1,1,High Value
Graduation,Married,29440.0,1.0,1.0,2013-08-11,95.0,17.0,8.0,14.0,10.0,4.0,3.0,2.0,1.0,0.0,4.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,11.0,0,65.0,56.0,3.0,4525.0,4.04305126783455,0.0,1,0,-1,0,Low Value
Master,Married,36138.0,1.0,1.0,2013-07-16,48.0,130.0,0.0,16.0,0.0,0.0,5.0,5.0,3.0,1.0,4.0,7.0,0.0,1.0,0.0,0.0,0.0,0.0,3.0,11.0,0,55.0,151.0,3.0,4551.0,5.0238805208462765,1.0,1,0,-1,0,Low Value
